1	12000	2.2846e-05	333.292	333.292	333.333	0.000124997
2	24000	2.4668e-05	333.292	333.313	333.333	6.24991e-05
3	36000	2.6495e-05	333.292	333.319	333.333	4.16663e-05
4	48000	2.7716e-05	333.292	333.323	333.333	3.12498e-05
5	60000	2.7315e-05	333.292	333.325	333.333	2.49999e-05
6	72000	2.7273e-05	333.292	333.326	333.333	2.08332e-05
7	84000	2.8505e-05	333.292	333.327	333.333	1.78571e-05
8	96000	2.8908e-05	333.292	333.328	333.333	1.56249e-05
9	108000	4.4695e-05	333.292	333.329	333.333	1.38888e-05
10	120000	6.5597e-05	333.292	333.329	333.333	1.25e-05
11	132000	6.6011e-05	333.292	333.33	333.333	1.13636e-05
12	144000	6.527e-05	333.292	333.33	333.333	1.04166e-05
13	156000	6.5914e-05	333.292	333.33	333.333	9.61536e-06
14	168000	7.6378e-05	333.292	333.33	333.333	8.92855e-06
15	180000	7.0494e-05	333.292	333.331	333.333	8.33332e-06
16	192000	7.5597e-05	333.292	333.331	333.333	7.81249e-06
