1 -1.921597898575661e+04		4.372632130980492e-03		8.071131972317778e+05
2 -1.921597898575622e+04		2.213277155533433e-03		8.071131972317679e+05
3 -1.921597898575688e+04		1.549331005662680e-03		8.071131972317629e+05
4 -1.921597898575638e+04		1.169997965916991e-03		8.071131972317657e+05
5 -1.921597898575638e+04		9.828829206526279e-04		8.071131972317634e+05
6 -1.921597898575638e+04		9.488619398325682e-04		8.071131972317621e+05
7 -1.921597898575593e+04		7.864560466259718e-04		8.071131972317669e+05
8 -1.921597898575634e+04		6.871579680591822e-04		8.071131972317662e+05
9 -1.921597898575676e+04		1.018197974190116e-03		8.071131972317651e+05
10 -1.921597898575656e+04		1.009968109428883e-03		8.071131972317648e+05
11 -1.921597898575634e+04		9.188530966639519e-04		8.071131972317661e+05
12 -1.921597898575612e+04		8.616689592599869e-04		8.071131972317649e+05
13 -1.921597898575700e+04		7.822290062904358e-04		8.071131972317649e+05
14 -1.921597898575599e+04		7.427900563925505e-04		8.071131972317668e+05
15 -1.921597898575509e+04		6.959650199860334e-04		8.071131972317664e+05
16 -1.921597898575552e+04		1.056879060342908e-03		8.071131972317661e+05
